# 60km, 70km, 80km, 90km, 100km, 110km, 120km, 130km, 140km, 150km, 160km, 170km, 180km, 190km, 200km, 210km, 220km, 230km, 240km, 250km, 300km, 350km, 400km, 450km, 500km, 550km, 600km, 650km, 700km, 750km, 800km, 850km, 900km, 950km, 1000km
5.5967e-01,5.5147e-01,5.3966e-01,5.2282e-01,5.0884e-01,5.0591e-01,5.0384e-01,4.8774e-01,4.8423e-01,4.7445e-01,4.6859e-01,4.7211e-01,4.4807e-01,4.4998e-01,4.4866e-01,4.4878e-01,4.4441e-01,4.4297e-01,4.4070e-01,4.3971e-01,4.2858e-01,4.2461e-01,4.0809e-01,3.9769e-01,3.8872e-01,3.9233e-01,3.8055e-01,3.7106e-01,3.6907e-01,3.6817e-01,3.6440e-01,3.5489e-01,3.6112e-01,3.5699e-01,3.4781e-01
5.5702e-01,5.4858e-01,5.3659e-01,5.1974e-01,5.0572e-01,5.0255e-01,5.0027e-01,4.8430e-01,4.8061e-01,4.7086e-01,4.6490e-01,4.6812e-01,4.4447e-01,4.4614e-01,4.4472e-01,4.4460e-01,4.4017e-01,4.3869e-01,4.3628e-01,4.3516e-01,4.2370e-01,4.1913e-01,4.0274e-01,3.9227e-01,3.8320e-01,3.8621e-01,3.7466e-01,3.6500e-01,3.6290e-01,3.6191e-01,3.5815e-01,3.4827e-01,3.5440e-01,3.5016e-01,3.4112e-01
5.5438e-01,5.4571e-01,5.3354e-01,5.1668e-01,5.0262e-01,4.9923e-01,4.9672e-01,4.8089e-01,4.7701e-01,4.6730e-01,4.6125e-01,4.6417e-01,4.4090e-01,4.4234e-01,4.4081e-01,4.4046e-01,4.3599e-01,4.3445e-01,4.3191e-01,4.3066e-01,4.1887e-01,4.1372e-01,3.9746e-01,3.8691e-01,3.7776e-01,3.8018e-01,3.6886e-01,3.5903e-01,3.5682e-01,3.5574e-01,3.5201e-01,3.4177e-01,3.4780e-01,3.4343e-01,3.3454e-01
5.5175e-01,5.4285e-01,5.3051e-01,5.1365e-01,4.9954e-01,4.9592e-01,4.9320e-01,4.7751e-01,4.7345e-01,4.6377e-01,4.5763e-01,4.6026e-01,4.3736e-01,4.3857e-01,4.3694e-01,4.3635e-01,4.3184e-01,4.3026e-01,4.2759e-01,4.2621e-01,4.1409e-01,4.0838e-01,3.9225e-01,3.8163e-01,3.7239e-01,3.7424e-01,3.6315e-01,3.5316e-01,3.5084e-01,3.4968e-01,3.4596e-01,3.3537e-01,3.4131e-01,3.3683e-01,3.2808e-01
5.4914e-01,5.4001e-01,5.2750e-01,5.1063e-01,4.9648e-01,4.9264e-01,4.8970e-01,4.7415e-01,4.6991e-01,4.6027e-01,4.5403e-01,4.5638e-01,4.3386e-01,4.3484e-01,4.3310e-01,4.3229e-01,4.2774e-01,4.2611e-01,4.2331e-01,4.2181e-01,4.0938e-01,4.0311e-01,3.8711e-01,3.7643e-01,3.6710e-01,3.6839e-01,3.5752e-01,3.4738e-01,3.4496e-01,3.4371e-01,3.4000e-01,3.2909e-01,3.3493e-01,3.3033e-01,3.2174e-01
5.4654e-01,5.3718e-01,5.2451e-01,5.0763e-01,4.9344e-01,4.8939e-01,4.8624e-01,4.7081e-01,4.6640e-01,4.5680e-01,4.5047e-01,4.5253e-01,4.3038e-01,4.3113e-01,4.2930e-01,4.2828e-01,4.2368e-01,4.2200e-01,4.1908e-01,4.1746e-01,4.0472e-01,3.9792e-01,3.8204e-01,3.7129e-01,3.6189e-01,3.6264e-01,3.5198e-01,3.4169e-01,3.3917e-01,3.3784e-01,3.3415e-01,3.2292e-01,3.2867e-01,3.2395e-01,3.1551e-01
5.4395e-01,5.3437e-01,5.2154e-01,5.0465e-01,4.9042e-01,4.8615e-01,4.8279e-01,4.6750e-01,4.6292e-01,4.5335e-01,4.4693e-01,4.4872e-01,4.2693e-01,4.2747e-01,4.2554e-01,4.2430e-01,4.1966e-01,4.1794e-01,4.1490e-01,4.1316e-01,4.0011e-01,3.9279e-01,3.7704e-01,3.6623e-01,3.5675e-01,3.5697e-01,3.4652e-01,3.3610e-01,3.3347e-01,3.3206e-01,3.2838e-01,3.1686e-01,3.2251e-01,3.1768e-01,3.0939e-01
5.4137e-01,5.3157e-01,5.1858e-01,5.0168e-01,4.8742e-01,4.8294e-01,4.7938e-01,4.6422e-01,4.5947e-01,4.4993e-01,4.4343e-01,4.4495e-01,4.2351e-01,4.2383e-01,4.2181e-01,4.2036e-01,4.1568e-01,4.1391e-01,4.1075e-01,4.0890e-01,3.9556e-01,3.8774e-01,3.7210e-01,3.6124e-01,3.5168e-01,3.5139e-01,3.4114e-01,3.3059e-01,3.2786e-01,3.2638e-01,3.2271e-01,3.1091e-01,3.1647e-01,3.1151e-01,3.0339e-01
5.3881e-01,5.2879e-01,5.1564e-01,4.9874e-01,4.8444e-01,4.7975e-01,4.7599e-01,4.6096e-01,4.5604e-01,4.4654e-01,4.3995e-01,4.4120e-01,4.2013e-01,4.2023e-01,4.1811e-01,4.1646e-01,4.1174e-01,4.0993e-01,4.0665e-01,4.0469e-01,3.9107e-01,3.8275e-01,3.6724e-01,3.5631e-01,3.4669e-01,3.4590e-01,3.3585e-01,3.2518e-01,3.2235e-01,3.2080e-01,3.1713e-01,3.0507e-01,3.1053e-01,3.0546e-01,2.9749e-01
5.3626e-01,5.2603e-01,5.1272e-01,4.9581e-01,4.8148e-01,4.7658e-01,4.7263e-01,4.5772e-01,4.5264e-01,4.4318e-01,4.3651e-01,4.3750e-01,4.1677e-01,4.1667e-01,4.1446e-01,4.1260e-01,4.0785e-01,4.0598e-01,4.0260e-01,4.0052e-01,3.8663e-01,3.7783e-01,3.6244e-01,3.5146e-01,3.4176e-01,3.4049e-01,3.3064e-01,3.1985e-01,3.1693e-01,3.1531e-01,3.1165e-01,2.9933e-01,3.0470e-01,2.9952e-01,2.9170e-01
