net1,sta1,lat1,lon1,net2,sta2,lat2,lon2,x4hrWnd,distance_km,result,oceanpath
XW,KOTD,3.000,34.110,XW,LANG,2.740,33.564,737,67.169,2,0
XW,KOTD,3.000,34.110,XW,NAPK,2.369,34.377,3509,75.828,1,0
XW,AMDT,1.949,34.936,XW,NAPK,2.369,34.377,2519,77.612,1,0
XW,KITG,3.292,32.880,XW,GULU,2.878,32.285,6248,80.437,1,0
ZP,MALE,1.070,34.167,ZP,ROTI,1.626,33.600,4312,88.099,1,0
ZP,JNJA,0.446,33.182,AF,TEBE,0.054,32.483,1815,89.070,2,0
XW,LIRA,2.110,33.064,XW,LANG,2.740,33.564,770,89.137,2,0
XW,KITG,3.292,32.880,XW,LANG,2.740,33.564,748,97.506,2,0
ZP,PIGI,0.231,32.319,ZP,JNJA,0.446,33.182,4631,98.965,1,0
XW,KABG,3.510,34.143,XW,LANG,2.740,33.564,748,106.732,1,0
ZP,PIGI,0.231,32.319,ZP,BEND,0.581,31.392,3564,110.209,1,0
XW,KUMI,1.477,33.865,XW,LIRA,2.110,33.064,5412,113.323,1,0
XW,KUMI,1.477,33.865,XW,NAPK,2.369,34.377,3190,113.901,1,0
XW,GULU,2.878,32.285,XW,LIRA,2.110,33.064,6325,121.316,1,0
ZP,FOPO,0.663,30.282,ZP,BEND,0.581,31.392,3641,123.890,1,0
XW,KABG,3.510,34.143,XW,NAPK,2.369,34.377,4026,128.823,1,0
ZP,MALE,1.070,34.167,ZP,JNJA,0.446,33.182,4070,129.544,2,0
XW,KUMI,1.477,33.865,XW,AMDT,1.949,34.936,3916,130.098,1,0
XW,KITG,3.292,32.880,XW,LIRA,2.110,33.064,7348,132.293,1,0
ZP,BEND,0.581,31.392,AF,TEBE,0.054,32.483,1463,134.704,1,0
ZP,BEND,0.581,31.392,ZP,BUTI,1.819,31.326,2783,137.089,1,0
ZP,ROTI,1.626,33.600,ZP,JNJA,0.446,33.182,4664,138.524,1,0
XW,KITG,3.292,32.880,XW,KOTD,3.000,34.110,6600,140.479,1,0
XW,KABG,3.510,34.143,XW,KITG,3.292,32.880,5654,142.406,1,0
XW,GULU,2.878,32.285,XW,LANG,2.740,33.564,770,143.024,1,0
XW,KOTD,3.000,34.110,XW,AMDT,1.949,34.936,4455,148.138,1,0
XW,LIRA,2.110,33.064,XW,NAPK,2.369,34.377,4026,148.833,1,0
XW,KOTD,3.000,34.110,XW,LIRA,2.110,33.064,6644,152.369,1,0
XW,KUMI,1.477,33.865,XW,KOTD,3.000,34.110,4862,170.598,1,0
ZP,FOPO,0.663,30.282,ZP,BUTI,1.819,31.326,3674,172.739,1,0
XW,KABG,3.510,34.143,XW,AMDT,1.949,34.936,3531,193.827,1,0
XW,KITG,3.292,32.880,XW,NAPK,2.369,34.377,3960,195.242,1,0
XW,KABG,3.510,34.143,XW,LIRA,2.110,33.064,5731,195.851,1,0
ZP,BEND,0.581,31.392,ZP,JNJA,0.446,33.182,3355,199.812,1,0
XW,KOTD,3.000,34.110,XW,GULU,2.878,32.285,5973,203.341,1,0
ZP,PIGI,0.231,32.319,ZP,BUTI,1.819,31.326,3630,207.478,2,0
XW,LIRA,2.110,33.064,XW,AMDT,1.949,34.936,4972,209.020,2,0
ZP,ROTI,1.626,33.600,ZP,PIGI,0.231,32.319,4939,210.053,2,0
ZP,ROTI,1.626,33.600,AF,TEBE,0.054,32.483,1837,213.709,2,0
XW,KABG,3.510,34.143,XW,GULU,2.878,32.285,4620,218.016,1,0
ZP,MALE,1.070,34.167,AF,TEBE,0.054,32.483,1661,218.538,1,0
AF,TEBE,0.054,32.483,XW,KUMI,1.477,33.865,2695,220.047,2,0
ZP,MALE,1.070,34.167,ZP,PIGI,0.231,32.319,4257,225.656,2,0
XW,KABG,3.510,34.143,XW,KUMI,1.477,33.865,4202,226.918,1,0
XW,KITG,3.292,32.880,XW,KUMI,1.477,33.865,5335,228.649,1,0
ZP,FOPO,0.663,30.282,ZP,PIGI,0.231,32.319,4928,231.727,2,0
ZP,BUTI,1.819,31.326,AF,TEBE,0.054,32.483,1232,233.820,2,0
XW,KUMI,1.477,33.865,XW,GULU,2.878,32.285,4554,234.284,1,0
AF,TEBE,0.054,32.483,XW,LIRA,2.110,33.064,3751,236.359,1,0
XW,GULU,2.878,32.285,XW,NAPK,2.369,34.377,3124,239.349,1,0
ZP,ROTI,1.626,33.600,ZP,BUTI,1.819,31.326,3707,253.925,1,0
ZP,FOPO,0.663,30.282,AF,TEBE,0.054,32.483,1837,254.094,1,0
ZP,JNJA,0.446,33.182,ZP,BUTI,1.819,31.326,3410,256.355,1,0
ZP,ROTI,1.626,33.600,ZP,BEND,0.581,31.392,3641,271.556,1,0
XW,KITG,3.292,32.880,XW,AMDT,1.949,34.936,4939,272.626,1,0
XW,GULU,2.878,32.285,XW,AMDT,1.949,34.936,4125,312.227,1,0
AF,TEBE,0.054,32.483,XW,GULU,2.878,32.285,3553,313.041,2,0
ZP,MALE,1.070,34.167,ZP,BEND,0.581,31.392,3069,313.576,2,0
AF,TEBE,0.054,32.483,XW,LANG,2.740,33.564,770,320.440,1,0
ZP,FOPO,0.663,30.282,ZP,JNJA,0.446,33.182,4598,323.702,2,0
ZP,MALE,1.070,34.167,ZP,BUTI,1.819,31.326,3113,326.824,2,0
AF,TEBE,0.054,32.483,XW,NAPK,2.369,34.377,2805,331.593,1,0
AF,TEBE,0.054,32.483,XW,AMDT,1.949,34.936,2200,344.155,2,0
AF,TEBE,0.054,32.483,XW,KITG,3.292,32.880,3652,360.758,2,0
AF,TEBE,0.054,32.483,XW,KOTD,3.000,34.110,3696,372.678,1,0
ZP,FOPO,0.663,30.282,ZP,ROTI,1.626,33.600,4961,384.326,1,0
AF,TEBE,0.054,32.483,XW,KABG,3.510,34.143,3707,424.432,1,0
ZP,MALE,1.070,34.167,ZP,FOPO,0.663,30.282,4246,434.762,2,0
