net1,sta1,lat1,lon1,net2,sta2,lat2,lon2,4hrWnd,distance_km,result
ZP,KGMA,-4.878,29.633000000000003,ZP,SULU,-4.573,30.087,3113,60.61774364,2
XJ,MW44,-3.344,35.664,XJ,PR64,-2.801,35.533,2959,61.78415051,2
2H,KOZE,12.495,40.985,2H,IGRE,12.253,40.461,8250,62.96030476,2
XJ,KEN1,-1.941,36.693000000000005,XJ,LN14,-2.439,36.415,5302,63.15586197,2
YQ,MATA,-8.959,33.969,YQ,KIPE,-9.294,34.436,8415,63.3074991,1
XJ,LN35,-2.63,36.006,XJ,MW43,-3.205,35.946,4268,63.93082246,2
6A,WP24,-19.33,13.157,6A,WP09,-19.109,12.591,4686,64.34821448,1
YJ,KOTE,9.388,39.396,YJ,GTFE,9.003,39.838,4466,64.59685436,1
XJ,LL22,-2.52,35.599000000000004,XJ,PR31,-2.919,36.048,5720,66.62758647,1
XJ,MW43,-3.205,35.946,XJ,PR62,-2.983,35.374,4279,68.15680619,1
ZV,NEMA,-7.52,31.044,ZV,KALA,-8.134,30.97,3707,68.39394567,1
XK,B10PP,-18.913,22.543000000000003,XK,B13NX,-18.579,21.994,8129,68.68997425,1
2H,HALE,13.842,40.008,2H,ERTE,13.446,40.497,4631,68.69368914,1
XJ,LN14,-2.439,36.415,XJ,LN46,-3.007,36.677,6864,69.23526008,2
ZF,KOBE,12.151,39.63,ZF,MAYE,12.783,39.534,4026,70.69027871,2
XK,W03BL,-13.679,33.824,XK,W11KP,-13.217,34.311,4158,73.44101464,1
XB,PM09,35.027,-5.114,XB,PM11,34.931,-4.312,6336,74.00198916,1
Y6,OHIT,7.716,38.758,Y6,MILA,7.13,38.434,3663,74.02217426,1
Y6,GEBI,8.219,39.106,Y6,BEKO,7.542000000000001,39.259,1287,76.75036985,2
XJ,NG54,-2.732,35.36,XJ,MW36,-3.016,35.998000000000005,7524,77.57382699,1
XW,AMDT,1.949,34.936,XW,NAPK,2.369,34.376999999999995,2519,77.61213640000001,1
XJ,PR33,-2.839,36.14,XJ,LL23,-2.297,35.69,7095,78.07857737,1
XJ,LN14,-2.439,36.415,XJ,MW36,-3.016,35.998000000000005,7271,78.87186741,2
ZP,MAKA,-8.846,34.83,ZP,MAFI,-8.306000000000001,35.313,1287,79.96203351,1
7C,ASE,11.004,42.104,7C,MOY2,11.63,42.492,4224,81.17385508,1
Y6,POWR,7.787999999999999,38.794,Y6,CHEF,7.149,38.432,5654,81.18331083,2
ZF,LYDE,12.055,41.926,ZE,BREE,12.17,41.188,6325,81.33766459,2
YJ,AWAE,8.99,40.166,YJ,ANKE,9.593,39.734,2838,81.85835178,1
Y6,GRIM,7.1610000000000005,38.395,Y6,POWR,7.787999999999999,38.794,5445,82.14579757,1
Y6,GALU,7.801,38.767,Y6,MILA,7.13,38.434,1595,82.81240778,1
YJ,SENE,9.147,39.017,YJ,INEE,9.895,39.143,4224,83.88097769,1
XB,PS45,36.306,-5.716,XB,PM02,35.61,-5.347,9185,84.09550956,1
YJ,ASEE,7.973,39.132,YJ,BUTE,8.117,38.382,1364,84.19330532,1
ZF,BTIE,11.195,40.022,ZF,WLDE,11.824000000000002,39.587,1738,84.22199069,1
YJ,MELE,9.311,40.201,XI,BDAR,9.672,39.525,1276,84.2859243,2
XJ,NG55,-3.142,35.687,XJ,LL65,-2.418,35.434,6677,84.8561673,1
Y6,ADEP,7.773,38.884,Y6,GRIM,7.1610000000000005,38.395,2442,86.57038495,1
XJ,LN25,-2.501,35.886,XJ,PR61,-2.959,35.248000000000005,7513,87.1638694,2
ZF,GEWE,10.004,40.574,ZF,MISE,9.237,40.759,6050,87.2307059,1
Y6,HABU,7.737,38.726,Y6,DORE,7.031000000000001,38.362,2343,87.81325858,1
3D,MM03,30.878,-6.9,3D,MM06,30.508000000000003,-6.066,8459,89.81808034,1
Y6,ADEP,7.773,38.884,Y6,HAWA,7.0520000000000005,38.502,2442,90.20211665,1
ZF,MAYE,12.783,39.534,ZE,TRUE,12.484000000000002,40.316,3916,91.169828,2
Y6,OGOL,8.04,39.014,Y6,KADO,7.295,38.655,5907,91.41862881,1
ZF,AKEE,10.888,39.168,ZF,GASE,11.681,38.921,4774,91.77089549,1
XJ,PR32,-2.875,36.181,XJ,NG54,-2.732,35.36,4818,92.64403739,1
XJ,LN26,-2.61,35.878,XJ,KEN4,-1.784,36.054,5456,93.41039262,1
YQ,GAWA,-8.765,34.386,YQ,TOLA,-9.592,34.584,5104,94.02116611,1
YQ,BUMI,-10.128,34.936,YQ,KIDE,-9.274,35.021,4224,94.91681321,1
XB,PM28,32.232,-4.617,XB,PM33A,31.414,-4.29,3828,95.84051715,1
YJ,LEME,8.612,38.61,YJ,AREE,8.937999999999999,39.419,3586,96.03548237,1
YJ,NURE,8.731,39.796,YJ,SENE,9.147,39.017,4873,97.24455878,1
YQ,UKWA,-9.454,34.216,YQ,KIFA,-9.547,35.103,4543,97.93660061,1
ZV,NEMA,-7.52,31.044,ZV,SITA,-6.619,31.143,3597,100.2410667,1
XB,PM26,32.525,-4.566,XB,PM22B,33.308,-5.102,8536,100.2716356,1
XB,PM09,35.027,-5.114,XB,PM18,34.15,-4.82,6226,100.9578534,1
1C,KTG,0.902,36.257,1C,SLS,-0.01,36.128,704,101.8610598,1
ZE,HARE,11.607,40.884,ZE,AWEE,12.067,40.072,2596,102.0701445,1
Y6,BEKO,7.542000000000001,39.259,Y6,URJI,7.187,38.379,1210,104.7907118,1
XA,SA13,-29.979,23.14,XA,SA09,-30.922,22.986,3443,105.5822218,1
ZF,ELLE,11.258,40.378,ZF,WLDE,11.824000000000002,39.587,1474,106.6070598,1
YJ,MELE,9.311,40.201,XI,WANE,10.169,40.649,1155,106.87550159999998,1
YQ,BUMI,-10.128,34.936,YQ,KIPE,-9.294,34.436,4235,107.3292823,2
YJ,NURE,8.731,39.796,XI,BDAR,9.672,39.525,1507,108.254298,1
6A,WP28,-17.808,12.33,6A,WP27,-17.434,13.274,4752,108.3996105,2
YJ,AREE,8.937999999999999,39.419,YJ,INEE,9.895,39.143,4301,110.1029478,2
XJ,PR61,-2.959,35.248000000000005,XJ,LN15,-2.628,36.185,7502,110.4253013,1
YZ,SEME,11.792,41.003,YZ,BOOE,12.675,40.523,825,110.7668344,2
XA,SA11,-29.965,20.947,XA,SA81,-30.925,21.268,3850,110.8017722,1
XB,PM08,35.145,-4.708,XB,PM18,34.15,-4.82,6600,110.8559976,1
Y6,KADO,7.295,38.655,Y6,ITTE,8.126,39.226,6413,111.4194882,2
6A,WP26,-18.229,13.274,6A,WP10,-18.752,12.369000000000002,2134,111.7393969,2
YQ,ITUM,-9.4,33.188,YQ,LOSI,-8.387,33.168,4697,112.0602506,1
XB,PM36,34.889,-3.736,XB,PM13,34.672,-4.935,7876,112.3544686,1
2H,TRUE,12.481,40.315,2H,DAME,11.687,40.962,660,112.5893462,1
1C,VWP,-0.259,36.093,1C,NAK,0.77,36.165,1232,114.0629188,2
XB,PM27,32.35,-4.654,XB,PM22B,33.308,-5.102,8536,114.2243568,1
ZF,KOBE,12.151,39.63,AF,DESE,11.118,39.635,1166,114.2712197,1
YJ,DZEE,8.78,38.996,XI,BDAR,9.672,39.525,1232,114.5098836,1
YQ,CRTR,-9.332,33.751,YQ,UWEM,-9.47,34.786,4070,114.6984394,2
XA,SA26,-27.546,26.18,XA,SA27,-27.862,27.294,3399,115.3177198,2
ZV,KOLA,-7.169,30.538,ZV,KALA,-8.134,30.97,3960,116.8832975,1
XJ,LL23,-2.297,35.69,XJ,KEN1,-1.941,36.693000000000005,5566,118.3178963,2
YQ,NKAL,-9.188,33.774,YQ,BAKO,-8.844,34.802,4895,119.2632071,1
YQ,KIDE,-9.274,35.021,YQ,CHML,-8.826,34.028,4565,119.89113190000002,2
ZP,NJOM,-9.366,34.791,YI,SCH,-10.176,34.032,847,122.31506170000002,2
XA,SA10,-30.972,23.914,XA,SA14,-29.868,24.023000000000003,2860,122.83616440000002,2
1C,MNP,-0.218,35.947,1C,MOND,0.8959999999999999,36.086,1804,124.1478151,1
