LMODE NFREQ       PERIOD(S)     FREQUENCY(Hz)           C(KM/S)
    0     1    2.000000000       0.5000000000        3.476301689    
    0     2    2.007843137       0.4980468750        3.476379823    
    0     3    2.015748031       0.4960937500        3.476458804    
    0     4    2.023715415       0.4941406250        3.476538643    
    0     5    2.031746032       0.4921875000        3.476619352    
    0     6    2.039840637       0.4902343750        3.476700945    
    0     7    2.048000000       0.4882812500        3.476783435    
    0     8    2.056224900       0.4863281250        3.476866834    
    0     9    2.064516129       0.4843750000        3.476951156    
    0    10    2.072874494       0.4824218750        3.477036414    
    0    11    2.081300813       0.4804687500        3.477122623    
    0    12    2.089795918       0.4785156250        3.477209797    
    0    13    2.098360656       0.4765625000        3.477297950    
    0    14    2.106995885       0.4746093750        3.477387097    
    0    15    2.115702479       0.4726562500        3.477477253    
    0    16    2.124481328       0.4707031250        3.477568432    
    0    17    2.133333333       0.4687500000        3.477660652    
    0    18    2.142259414       0.4667968750        3.477753927    
    0    19    2.151260504       0.4648437500        3.477848273    
    0    20    2.160337553       0.4628906250        3.477943708    
    0    21    2.169491525       0.4609375000        3.478040248    
    0    22    2.178723404       0.4589843750        3.478137909    
    0    23    2.188034188       0.4570312500        3.478236711    
    0    24    2.197424893       0.4550781250        3.478336669    
    0    25    2.206896552       0.4531250000        3.478437803    
    0    26    2.216450216       0.4511718750        3.478540130    
    0    27    2.226086957       0.4492187500        3.478643671    
    0    28    2.235807860       0.4472656250        3.478748443    
    0    29    2.245614035       0.4453125000        3.478854467    
    0    30    2.255506608       0.4433593750        3.478961762    
    0    31    2.265486726       0.4414062500        3.479070350    
    0    32    2.275555556       0.4394531250        3.479180250    
    0    33    2.285714286       0.4375000000        3.479291484    
    0    34    2.295964126       0.4355468750        3.479404074    
    0    35    2.306306306       0.4335937500        3.479518041    
    0    36    2.316742081       0.4316406250        3.479633409    
    0    37    2.327272727       0.4296875000        3.479750200    
    0    38    2.337899543       0.4277343750        3.479868437    
    0    39    2.348623853       0.4257812500        3.479988146    
    0    40    2.359447005       0.4238281250        3.480109349    
    0    41    2.370370370       0.4218750000        3.480232073    
    0    42    2.381395349       0.4199218750        3.480356343    
    0    43    2.392523364       0.4179687500        3.480482184    
    0    44    2.403755869       0.4160156250        3.480609624    
    0    45    2.415094340       0.4140625000        3.480738689    
    0    46    2.426540284       0.4121093750        3.480869407    
    0    47    2.438095238       0.4101562500        3.481001807    
    0    48    2.449760766       0.4082031250        3.481135917    
    0    49    2.461538462       0.4062500000        3.481271768    
    0    50    2.473429952       0.4042968750        3.481409388    
    0    51    2.485436893       0.4023437500        3.481548810    
    0    52    2.497560976       0.4003906250        3.481690064    
    0    53    2.509803922       0.3984375000        3.481833183    
    0    54    2.522167488       0.3964843750        3.481978200    
    0    55    2.534653465       0.3945312500        3.482125148    
    0    56    2.547263682       0.3925781250        3.482274062    
    0    57    2.560000000       0.3906250000        3.482424977    
    0    58    2.572864322       0.3886718750        3.482577930    
    0    59    2.585858586       0.3867187500        3.482732956    
    0    60    2.598984772       0.3847656250        3.482890093    
    0    61    2.612244898       0.3828125000        3.483049380    
    0    62    2.625641026       0.3808593750        3.483210857    
    0    63    2.639175258       0.3789062500        3.483374562    
    0    64    2.652849741       0.3769531250        3.483540539    
    0    65    2.666666667       0.3750000000        3.483708828    
    0    66    2.680628272       0.3730468750        3.483879474    
    0    67    2.694736842       0.3710937500        3.484052519    
    0    68    2.708994709       0.3691406250        3.484228010    
    0    69    2.723404255       0.3671875000        3.484405992    
    0    70    2.737967914       0.3652343750        3.484586512    
    0    71    2.752688172       0.3632812500        3.484769621    
    0    72    2.767567568       0.3613281250        3.484955365    
    0    73    2.782608696       0.3593750000        3.485143798    
    0    74    2.797814208       0.3574218750        3.485334970    
    0    75    2.813186813       0.3554687500        3.485528936    
    0    76    2.828729282       0.3535156250        3.485725749    
    0    77    2.844444444       0.3515625000        3.485925465    
    0    78    2.860335196       0.3496093750        3.486128143    
    0    79    2.876404494       0.3476562500        3.486333840    
    0    80    2.892655367       0.3457031250        3.486542618    
    0    81    2.909090909       0.3437500000        3.486754537    
    0    82    2.925714286       0.3417968750        3.486969661    
    0    83    2.942528736       0.3398437500        3.487188054    
    0    84    2.959537572       0.3378906250        3.487409785    
    0    85    2.976744186       0.3359375000        3.487634919    
    0    86    2.994152047       0.3339843750        3.487863529    
    0    87    3.011764706       0.3320312500        3.488095685    
    0    88    3.029585799       0.3300781250        3.488331461    
    0    89    3.047619048       0.3281250000        3.488570933    
    0    90    3.065868263       0.3261718750        3.488814178    
    0    91    3.084337349       0.3242187500        3.489061276    
    0    92    3.103030303       0.3222656250        3.489312309    
    0    93    3.121951220       0.3203125000        3.489567361    
    0    94    3.141104294       0.3183593750        3.489826517    
    0    95    3.160493827       0.3164062500        3.490089867    
    0    96    3.180124224       0.3144531250        3.490357501    
    0    97    3.200000000       0.3125000000        3.490629513    
    0    98    3.220125786       0.3105468750        3.490905998    
    0    99    3.240506329       0.3085937500        3.491187056    
    0   100    3.261146497       0.3066406250        3.491472788    
    0   101    3.282051282       0.3046875000        3.491763298    
    0   102    3.303225806       0.3027343750        3.492058692    
    0   103    3.324675325       0.3007812500        3.492359082    
    0   104    3.346405229       0.2988281250        3.492664580    
    0   105    3.368421053       0.2968750000        3.492975303    
    0   106    3.390728477       0.2949218750        3.493291372    
    0   107    3.413333333       0.2929687500        3.493612908    
    0   108    3.436241611       0.2910156250        3.493940040    
    0   109    3.459459459       0.2890625000        3.494272898    
    0   110    3.482993197       0.2871093750        3.494611616    
    0   111    3.506849315       0.2851562500        3.494956334    
    0   112    3.531034483       0.2832031250        3.495307193    
    0   113    3.555555556       0.2812500000        3.495664341    
    0   114    3.580419580       0.2792968750        3.496027929    
    0   115    3.605633803       0.2773437500        3.496398113    
    0   116    3.631205674       0.2753906250        3.496775055    
    0   117    3.657142857       0.2734375000        3.497158919    
    0   118    3.683453237       0.2714843750        3.497549877    
    0   119    3.710144928       0.2695312500        3.497948106    
    0   120    3.737226277       0.2675781250        3.498353786    
    0   121    3.764705882       0.2656250000        3.498767107    
    0   122    3.792592593       0.2636718750        3.499188260    
    0   123    3.820895522       0.2617187500        3.499617448    
    0   124    3.849624060       0.2597656250        3.500054875    
    0   125    3.878787879       0.2578125000        3.500500754    
    0   126    3.908396947       0.2558593750        3.500955307    
    0   127    3.938461538       0.2539062500        3.501418761    
    0   128    3.968992248       0.2519531250        3.501891349    
    0   129    4.000000000       0.2500000000        3.502373317    
    0   130    4.031496063       0.2480468750        3.502864914    
    0   131    4.063492063       0.2460937500        3.503366401    
    0   132    4.096000000       0.2441406250        3.503878045    
    0   133    4.129032258       0.2421875000        3.504400127    
    0   134    4.162601626       0.2402343750        3.504932932    
    0   135    4.196721311       0.2382812500        3.505476759    
    0   136    4.231404959       0.2363281250        3.506031917    
    0   137    4.266666667       0.2343750000        3.506598725    
    0   138    4.302521008       0.2324218750        3.507177514    
    0   139    4.338983051       0.2304687500        3.507768629    
    0   140    4.376068376       0.2285156250        3.508372423    
    0   141    4.413793103       0.2265625000        3.508989267    
    0   142    4.452173913       0.2246093750        3.509619544    
    0   143    4.491228070       0.2226562500        3.510263650    
    0   144    4.530973451       0.2207031250        3.510921998    
    0   145    4.571428571       0.2187500000        3.511595017    
    0   146    4.612612613       0.2167968750        3.512283151    
    0   147    4.654545455       0.2148437500        3.512986863    
    0   148    4.697247706       0.2128906250        3.513706634    
    0   149    4.740740741       0.2109375000        3.514442962    
    0   150    4.785046729       0.2089843750        3.515196369    
    0   151    4.830188679       0.2070312500        3.515967395    
    0   152    4.876190476       0.2050781250        3.516756603    
    0   153    4.923076923       0.2031250000        3.517564579    
    0   154    4.970873786       0.2011718750        3.518391936    
    0   155    5.019607843       0.1992187500        3.519239310    
    0   156    5.069306931       0.1972656250        3.520107366    
    0   157    5.120000000       0.1953125000        3.520996796    
    0   158    5.171717172       0.1933593750        3.521908323    
    0   159    5.224489796       0.1914062500        3.522842703    
    0   160    5.278350515       0.1894531250        3.523800725    
    0   161    5.333333333       0.1875000000        3.524783212    
    0   162    5.389473684       0.1855468750        3.525791027    
    0   163    5.446808511       0.1835937500        3.526825072    
    0   164    5.505376344       0.1816406250        3.527886290    
    0   165    5.565217391       0.1796875000        3.528975669    
    0   166    5.626373626       0.1777343750        3.530094245    
    0   167    5.688888889       0.1757812500        3.531243103    
    0   168    5.752808989       0.1738281250        3.532423382    
    0   169    5.818181818       0.1718750000        3.533636275    
    0   170    5.885057471       0.1699218750        3.534883037    
    0   171    5.953488372       0.1679687500        3.536164986    
    0   172    6.023529412       0.1660156250        3.537483507    
    0   173    6.095238095       0.1640625000        3.538840058    
    0   174    6.168674699       0.1621093750        3.540236171    
    0   175    6.243902439       0.1601562500        3.541673462    
    0   176    6.320987654       0.1582031250        3.543153634    
    0   177    6.400000000       0.1562500000        3.544678481    
